,Quarter,Tm,Detail,CHI,CRD
0,1.0,Bears,Willard Dewveall 76 yard pass from Ed Brown (John Aveni kick),7,0
1,2.0,Bears,Willard Dewveall 12 yard pass from Ed Brown (John Aveni kick),14,0
2,2.0,Bears,John Aveni 24 yard field goal,17,0
3,3.0,Bears,Rick Casares 28 yard rush (John Aveni kick),24,0
4,3.0,Cardinals,Perry Richards 25 yard pass from King Hill (Bobby Joe Conrad kick),24,7
5,4.0,Bears,Merrill Douglas 2 yard rush (John Aveni kick),31,7
