,Quarter,Tm,Detail,ATL,GNB
0,1.0,Packers,Carroll Dale 5 yard pass from Zeke Bratkowski (Don Chandler kick),0,7
1,2.0,Packers,Carroll Dale 50 yard pass from Zeke Bratkowski (Don Chandler kick),0,14
2,2.0,Packers,"Safety, Davis tackled Johnson in end zone",0,16
3,4.0,Packers,Ben Wilson 11 yard rush (Don Chandler kick),0,23
