,Quarter,Tm,Detail,GNB,CHI
0,1.0,Packers,Eddie Lee Ivery 2 yard rush (Rich Wingo pass from Ray Stachowicz),7,0
1,2.0,Packers,Gerry Ellis 5 yard rush,13,0
2,3.0,Bears,Walter Payton 11 yard rush,13,6
3,4.0,Packers,Jan Stenerud 33 yard field goal,16,6
4,4.0,Bears,Bob Thomas 25 yard field goal,16,9
