,Quarter,Tm,Detail,CLE,CIN
0,1.0,Bengals,Jim Breech 24 yard field goal,0,3
1,1.0,Browns,Matt Bahr 50 yard field goal,3,3
2,2.0,Bengals,Jim Breech 23 yard field goal,3,6
3,2.0,Browns,Steve Cox 60 yard field goal,6,6
4,4.0,Bengals,Jim Breech 25 yard field goal,6,9
5,4.0,Browns,Matt Bahr 47 yard field goal,9,9
6,4.0,Bengals,Jim Breech 33 yard field goal,9,12
