,Quarter,Tm,Detail,CIN,PIT
0,2.0,Steelers,Louis Lipps 15 yard pass from Mark Malone (Gary Anderson kick),0,7
1,2.0,Bengals,James Brooks 14 yard rush (Jim Breech kick),7,7
2,2.0,Bengals,Rodney Holman 26 yard pass from Boomer Esiason (Jim Breech kick),14,7
3,2.0,Steelers,Gary Anderson 29 yard field goal,14,10
4,3.0,Bengals,Eddie Brown 8 yard pass from Boomer Esiason (Jim Breech kick),21,10
5,3.0,Steelers,John Stallworth 17 yard pass from Mark Malone (Gary Anderson kick),21,17
6,3.0,Steelers,Rich Erenberg 4 yard pass from Mark Malone (Gary Anderson kick),21,24
7,4.0,Bengals,Rodney Holman 4 yard pass from Boomer Esiason (Jim Breech kick),28,24
8,4.0,Bengals,Jim Breech 32 yard field goal,31,24
9,4.0,Bengals,James Brooks 32 yard rush (pass failed),37,24
