,Quarter,Tm,Detail,DEN,WAS
0,1.0,Redskins,Mark Rypien 1 yard rush (Chip Lohmiller kick),0,7
1,1.0,Broncos,David Treadwell 38 yard field goal,3,7
2,1.0,Redskins,Chip Lohmiller 43 yard field goal,3,10
3,1.0,Redskins,Wilber Marshall 20 yard interception return (Chip Lohmiller kick),3,17
4,2.0,Redskins,Gary Clark 44 yard pass from Mark Rypien (Chip Lohmiller kick),3,24
5,3.0,Redskins,Mark Rypien 1 yard rush (Chip Lohmiller kick),3,31
6,4.0,Redskins,Chip Lohmiller 36 yard field goal,3,34
