,Quarter,Tm,Detail,DEN,MIA
0,1.0,Broncos,Floyd Little 67 yard pass from Steve Tensi (Bobby Howfield kick),7,0
1,1.0,Dolphins,Larry Seiple 9 yard pass from Rick Norton (Karl Kremser kick),7,7
2,2.0,Dolphins,Larry Seiple 4 yard pass from Rick Norton (Karl Kremser kick),7,14
3,3.0,Dolphins,Karl Kremser 34 yard field goal,7,17
4,3.0,Broncos,Bobby Howfield 41 yard field goal,10,17
5,3.0,Broncos,George Burrell 38 yard interception return (Bobby Howfield kick),17,17
6,4.0,Dolphins,Jim Kiick 1 yard rush (Karl Kremser kick),17,24
7,4.0,Dolphins,Karl Kremser 15 yard field goal,17,27
8,4.0,Broncos,John Embree 3 yard pass from Steve Tensi (Bobby Howfield kick),24,27
