,Quarter,Tm,Detail,NYG,CLE
0,1.0,Browns,Lou Groza 41 yard field goal,0,3
1,2.0,Giants,Bob Schnelker 39 yard pass from Charlie Conerly (Pat Summerall kick),7,3
2,2.0,Browns,Jim Brown 58 yard rush (Lou Groza kick),7,10
3,2.0,Browns,Ken Konz 46 yard interception return (Lou Groza kick),7,17
4,3.0,Giants,Alex Webster 15 yard pass from Charlie Conerly (Pat Summerall kick),14,17
5,4.0,Giants,Alex Webster 10 yard pass from Charlie Conerly (Pat Summerall kick),21,17
