,Quarter,Tm,Detail,HOU,DEN
0,1.0,Broncos,Fred Steinfort 45 yard field goal,0,3
1,1.0,Broncos,Fred Steinfort 20 yard field goal,0,6
2,2.0,Oilers,Earl Campbell 1 yard rush (Toni Fritsch kick),7,6
3,2.0,Broncos,Fred Steinfort 28 yard field goal,7,9
4,3.0,Oilers,Earl Campbell 9 yard rush,13,9
5,4.0,Oilers,Rob Carpenter 2 yard rush (Toni Fritsch kick),20,9
6,4.0,Broncos,Jim Jensen 8 yard pass from Craig Morton (Fred Steinfort kick),20,16
