,Quarter,Tm,Detail,GNB,CHI
0,2.0,Packers,Don Hutson 78 yard pass from Arnie Herber (Clarke Hinkle kick),7,0
1,2.0,Packers,Ernie Smith 29 yard field goal,10,0
2,2.0,Packers,Ed Jankowski 23 yard interception return (Ernie Smith kick),17,0
3,3.0,Bears,Jack Manders 55 yard interception return (Jack Manders kick),17,7
4,3.0,Bears,Eggs Manske 64 yard pass from Bernie Masterson (Jack Manders kick),17,14
5,4.0,Packers,Clarke Hinkle 4 yard pass from Bob Monnett (Tiny Engebretsen kick),24,14
