,Quarter,Time,Tm,Detail,KAN,JAX
0,1.0,13:36,Chiefs,Sammy Watkins 68 yard pass from Patrick Mahomes (Harrison Butker kick),7,0
1,1.0,9:00,Chiefs,Harrison Butker 28 yard field goal,10,0
2,1.0,5:31,Jaguars,DJ Chark 35 yard pass from Nick Foles (Josh Lambo kick),10,7
3,1.0,2:45,Chiefs,Sammy Watkins 49 yard pass from Patrick Mahomes (Harrison Butker kick),17,7
4,2.0,11:39,Jaguars,Josh Lambo 37 yard field goal,17,10
5,2.0,7:59,Chiefs,Harrison Butker 25 yard field goal,20,10
6,2.0,4:25,Jaguars,Josh Lambo 23 yard field goal,20,13
7,2.0,0:28,Chiefs,Harrison Butker 46 yard field goal,23,13
8,3.0,2:28,Chiefs,Damien Williams 1 yard rush (Harrison Butker kick),30,13
9,4.0,11:02,Chiefs,Sammy Watkins 3 yard pass from Patrick Mahomes (Harrison Butker kick),37,13
10,4.0,7:40,Jaguars,Dede Westbrook 15 yard pass from Gardner Minshew II (pass failed),37,19
11,4.0,3:38,Chiefs,Harrison Butker 35 yard field goal,40,19
12,4.0,2:00,Jaguars,Chris Conley 21 yard pass from Gardner Minshew II (Josh Lambo kick),40,26
