,Quarter,Time,Tm,Detail,DET,HOU
0,1.0,10:50,Texans,Owen Daniels 2 yard pass from Matt Schaub (Kris Brown kick),0,7
1,1.0,5:44,Texans,Ahman Green 1 yard rush (Kris Brown kick),0,14
2,2.0,12:13,Texans,Steve Slaton 1 yard rush (Kris Brown kick),0,21
3,2.0,6:28,Lions,Jason Hanson 54 yard field goal,3,21
4,3.0,11:53,Lions,Kevin Smith 26 yard rush (Jason Hanson kick),10,21
5,3.0,1:45,Texans,Owen Daniels 1 yard pass from Matt Schaub (Kris Brown kick),10,28
6,4.0,11:45,Lions,Calvin Johnson 96 yard pass from Dan Orlovsky (Calvin Johnson pass from Dan Orlovsky),18,28
7,4.0,4:17,Lions,Jason Hanson 54 yard field goal,21,28
