,Quarter,Tm,Detail,SDG,SFO
0,1.0,Chargers,Craig McEwen 1 yard pass from John Friesz (John Carney kick),7,0
1,1.0,49ers,Mike Cofer 34 yard field goal,7,3
2,2.0,49ers,Jerry Rice 32 yard pass from Steve Young (Mike Cofer kick),7,10
3,2.0,Chargers,Anthony Miller 9 yard pass from John Friesz (John Carney kick),14,10
4,2.0,49ers,John Taylor 1 yard pass from Steve Young (Mike Cofer kick),14,17
5,3.0,49ers,Jerry Rice 70 yard pass from Steve Young (Mike Cofer kick),14,24
6,3.0,49ers,Keith Henderson 6 yard rush (Mike Cofer kick),14,31
7,4.0,49ers,Mike Cofer 28 yard field goal,14,34
