,Quarter,Time,Tm,Detail,ATL,CAR
0,1.0,8:28,Falcons,Warrick Dunn 38 yard rush (Jay Feely kick),7,0
1,1.0,6:35,Panthers,DeShaun Foster 1 yard rush (John Kasay kick),7,7
2,1.0,0:32,Falcons,Jay Feely 47 yard field goal,10,7
3,2.0,10:10,Falcons,Jay Feely 30 yard field goal,13,7
4,2.0,0:38,Panthers,John Kasay 26 yard field goal,13,10
5,4.0,12:00,Falcons,Kevin Mathis 35 yard interception return (Jay Feely kick),20,10
6,4.0,4:13,Falcons,T.J. Duckett 4 yard rush (Jay Feely kick),27,10
