,Quarter,Tm,Detail,COL,FRN
0,1.0,Yellow Jackets,Les Haws 18 yard rush,0,6
1,1.0,Tigers,Sonny Winters 2 yard rush (Sonny Winters kick),7,6
2,2.0,Yellow Jackets,Tex Hamer 1 yard rush (Russ Stein kick),7,13
3,4.0,Yellow Jackets,Jack Storer 29 yard pass from Tex Hamer (Russ Stein kick),7,20
4,4.0,Yellow Jackets,Russ Stein unknown yard field goal,7,23
