,Quarter,Tm,Detail,CHI,CRD
0,1.0,Cardinals,Johnny Hall 36 yard pass from Hugh McCullough (Lou Zontini kick),0,7
1,2.0,Cardinals,Marshall Goldberg 7 yard rush (Lou Zontini kick),0,14
2,2.0,Bears,Harry Clarke 8 yard rush (Jack Manders kick),7,14
3,4.0,Cardinals,Gaynell Tinsley 10 yard pass from Hugh McCullough (Hugh McCullough kick),7,21
