,Quarter,Time,Tm,Detail,TAM,DET
0,2.0,,Lions,Jason Hanson 27 yard field goal,0,3
1,2.0,2:00,Lions,Jason Hanson 25 yard field goal,0,6
2,2.0,0:18,Buccaneers,Michael Husted 43 yard field goal,3,6
3,3.0,0:18,Lions,Bryant Westbrook 34 yard interception return (Jason Hanson kick),3,13
4,3.0,0:18,Lions,Charlie Batch 1 yard rush (Jason Hanson kick),3,20
5,4.0,0:18,Buccaneers,Michael Husted 47 yard field goal,6,20
6,4.0,0:18,Lions,Terry Fair 105 yard kickoff return (Jason Hanson kick),6,27
