,Quarter,Tm,Detail,BAL,RAM
0,1.0,Colts,Lou Michaels 22 yard field goal,3,0
1,2.0,Colts,Lou Michaels 39 yard field goal,6,0
2,2.0,Rams,Jack Snow 8 yard pass from Roman Gabriel (Bruce Gossett kick),6,7
3,3.0,Colts,Tom Matte 2 yard rush (Lou Michaels kick),13,7
