,Quarter,Time,Tm,Detail,DET,JAX
0,1.0,,Jaguars,Keenan McCardell 67 yard pass from Jamie Martin (Mike Hollis kick),0,7
1,1.0,,Jaguars,Fred Taylor 1 yard rush (Mike Hollis kick),0,14
2,1.0,,Lions,Jason Hanson 34 yard field goal,3,14
3,2.0,,Jaguars,Mike Hollis 44 yard field goal,3,17
4,2.0,,Lions,Jason Hanson 24 yard field goal,6,17
5,2.0,2:00,Jaguars,Jimmy Smith 11 yard pass from Jamie Martin (Mike Hollis kick),6,24
6,2.0,0:40,Lions,Germane Crowell 27 yard pass from Charlie Batch (Jason Hanson kick),13,24
7,3.0,0:40,Lions,Jason Hanson 45 yard field goal,16,24
8,3.0,0:40,Jaguars,Mike Hollis 43 yard field goal,16,27
9,4.0,0:40,Jaguars,Fred Taylor 11 yard rush (Mike Hollis kick),16,34
10,4.0,0:40,Lions,Herman Moore 20 yard pass from Charlie Batch (pass failed),22,34
11,4.0,0:40,Jaguars,Mike Hollis 30 yard field goal,22,37
