,Quarter,Tm,Detail,MIN,PHI
0,2.0,Eagles,Gary Ballman 5 yard pass from Norm Snead (Sam Baker kick),0,7
1,2.0,Vikings,Bill Brown 57 yard pass from Joe Kapp (Fred Cox kick),7,7
2,3.0,Vikings,Gene Washington 30 yard pass from Joe Kapp (Fred Cox kick),14,7
3,3.0,Eagles,Sam Baker 25 yard field goal,14,10
4,4.0,Vikings,Joe Kapp 2 yard rush (Fred Cox kick),21,10
5,4.0,Eagles,Fred Hill 12 yard pass from Norm Snead (Sam Baker kick),21,17
6,4.0,Vikings,Fred Cox 17 yard field goal,24,17
