,Quarter,Tm,Detail,PIT,WAS
0,1.0,Steelers,Armand Niccolai 25 yard field goal,3,0
1,1.0,Redskins,Jimmy Johnston 39 yard pass from Sammy Baugh,3,6
2,2.0,Redskins,Frank Filchock 12 yard rush (Bo Russell kick),3,13
3,2.0,Steelers,George Platukis 31 yard pass from Billy Patterson (Armand Niccolai kick),10,13
4,3.0,Redskins,Jimmy Johnston 45 yard pass from Sammy Baugh (Bob Masterson kick),10,20
5,4.0,Redskins,Bob Masterson 15 yard pass from Frank Filchock (Bo Russell kick),10,27
6,4.0,Redskins,Dick Todd 1 yard rush (Bo Russell kick),10,34
7,4.0,Redskins,Bob Masterson 20 yard field goal,10,37
