,Quarter,Time,Tm,Detail,SFO,WAS
0,1.0,,49ers,Doug Brien 32 yard field goal,3,0
1,1.0,,49ers,Brent Jones 69 yard pass from Steve Young (Doug Brien kick),10,0
2,2.0,,Redskins,Chip Lohmiller 22 yard field goal,10,3
3,2.0,,49ers,Steve Young 1 yard rush (Doug Brien kick),17,3
4,3.0,,49ers,Tim McDonald 73 yard interception return (Doug Brien kick),24,3
5,3.0,,Redskins,Chip Lohmiller 23 yard field goal,24,6
6,3.0,5:33,49ers,Dexter Carter 96 yard kickoff return,30,6
7,4.0,5:33,49ers,Jerry Rice 28 yard rush (Doug Brien kick),37,6
8,4.0,5:33,Redskins,Ethan Horton 4 yard pass from John Friesz (Brian Mitchell run),37,14
9,4.0,5:33,Redskins,Darryl Morrison 32 yard defensive fumble return (Tydus Winans pass from John Friesz),37,22
