,Quarter,Tm,Detail,PIT,CHI
0,1.0,Bears,Julie Rykovich 20 yard pass from Johnny Lujack (Johnny Lujack kick),0,7
1,2.0,Steelers,Elbie Nickel 48 yard pass from Joe Geri (Joe Geri kick),7,7
2,2.0,Bears,John Hoffman 3 yard rush (Johnny Lujack kick),7,14
3,2.0,Bears,George Blanda 33 yard field goal,7,17
4,3.0,Bears,Julie Rykovich 1 yard rush,7,23
5,4.0,Bears,Julie Rykovich 1 yard rush (Johnny Lujack kick),7,30
6,4.0,Steelers,Bob Gage 97 yard rush (Joe Geri kick),14,30
7,4.0,Steelers,Bob Gage 6 yard rush (Joe Geri kick),21,30
