,Quarter,Tm,Detail,PHI,CLE
0,1.0,Eagles,Bobby Walston 34 yard field goal,3,0
1,2.0,Browns,Jim Brown 3 yard rush (Lou Groza kick),3,7
2,2.0,Eagles,Ted Dean 2 yard rush (Bobby Walston kick),10,7
3,2.0,Browns,Jim Brown 3 yard rush (Lou Groza kick),10,14
4,3.0,Browns,Bobby Mitchell 18 yard pass from Milt Plum (Lou Groza kick),10,21
5,3.0,Browns,Lou Groza 17 yard field goal,10,24
6,4.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),10,31
7,4.0,Browns,Jim Brown 8 yard rush (Lou Groza kick),10,38
8,4.0,Eagles,Tommy McDonald 6 yard pass from Sonny Jurgensen (Bobby Walston kick),17,38
9,4.0,Browns,Bobby Mitchell 91 yard kickoff return (Lou Groza kick),17,45
10,4.0,Eagles,Timmy Brown 39 yard pass from Sonny Jurgensen (Bobby Walston kick),24,45
