,Quarter,Time,Tm,Detail,CIN,BAL
0,1.0,15:00,Bengals,Brandon Wilson 92 yard kickoff return (Randy Bullock kick),7,0
1,1.0,11:39,Ravens,Lamar Jackson 21 yard rush (Justin Tucker kick),7,7
2,1.0,4:06,Ravens,Mark Ingram 1 yard rush (Justin Tucker kick),7,14
3,2.0,14:52,Ravens,Justin Tucker 40 yard field goal,7,17
4,2.0,0:39,Bengals,Randy Bullock 22 yard field goal,10,17
5,3.0,0:07,Ravens,Justin Tucker 49 yard field goal,10,20
6,4.0,3:49,Ravens,Justin Tucker 21 yard field goal,10,23
7,4.0,1:34,Bengals,Andy Dalton 2 yard rush (Randy Bullock kick),17,23
