,Quarter,Tm,Detail,DAL,WAS
0,1.0,Cowboys,Alvin Harper 80 yard pass from Troy Aikman,6,0
1,2.0,Redskins,Ricky Sanders 15 yard pass from Mark Rypien (Chip Lohmiller kick),6,7
2,2.0,Redskins,Brian Mitchell 1 yard rush (Chip Lohmiller kick),6,14
3,3.0,Redskins,Ron Middleton 1 yard pass from Mark Rypien (Chip Lohmiller kick),6,21
4,3.0,Cowboys,Alvin Harper 32 yard pass from Troy Aikman (Lin Elliott kick),13,21
5,3.0,Redskins,Art Monk 15 yard pass from Mark Rypien (Chip Lohmiller kick),13,28
6,4.0,Cowboys,Lin Elliott 22 yard field goal,16,28
7,4.0,Redskins,Brian Mitchell 29 yard rush (Chip Lohmiller kick),16,35
