,Quarter,Time,Tm,Detail,NYG,WAS
0,1.0,,Giants,Vencie Glenn 75 yard interception return (Brad Daluiso kick),7,0
1,1.0,,Redskins,Eddie Murray 47 yard field goal,7,3
2,2.0,,Giants,Tyrone Wheatley 1 yard rush (Brad Daluiso kick),14,3
3,2.0,,Giants,Mike Sherrard 57 yard pass from Dave Brown (Brad Daluiso kick),21,3
4,2.0,,Giants,Brad Daluiso 31 yard field goal,24,3
5,2.0,,Redskins,Eddie Murray 52 yard field goal,24,6
6,3.0,,Redskins,Marc Logan 3 yard rush (run failed),24,12
7,4.0,,Redskins,Eddie Murray 27 yard field goal,24,15
