,Quarter,Tm,Detail,NYG,RAI
0,1.0,Raiders,Chris Bahr 22 yard field goal,0,3
1,1.0,Raiders,Chris Bahr 25 yard field goal,0,6
2,3.0,Giants,Lionel Manuel 18 yard pass from Phil Simms (Joe Cooper kick),7,6
3,4.0,Giants,Lionel Manuel 11 yard pass from Phil Simms (Joe Cooper kick),14,6
4,4.0,Raiders,Chris Bahr 33 yard field goal,14,9
