,Quarter,Tm,Detail,CHI,PIT
0,1.0,Steelers,Tom Tracy 30 yard rush (Tom Miner kick),0,7
1,2.0,Steelers,Tom Miner 22 yard field goal,0,10
2,4.0,Bears,Bob Jewett 13 yard pass from Ed Brown (George Blanda kick),7,10
3,4.0,Bears,George Blanda 34 yard field goal,10,10
4,4.0,Steelers,Jimmy Orr 48 yard pass from Bobby Layne (Tom Miner kick),10,17
5,4.0,Steelers,Tom Tracy 18 yard rush (Tom Miner kick),10,24
