,Quarter,Tm,Detail,NYG,PIT
0,1.0,Giants,Howard Cross 12 yard pass from Jeff Hostetler (Matt Bahr kick),7,0
1,2.0,Giants,Matt Bahr 45 yard field goal,10,0
2,2.0,Giants,Matt Bahr 40 yard field goal,13,0
3,3.0,Giants,Dave Meggett 30 yard rush (Matt Bahr kick),20,0
4,3.0,Steelers,Gary Anderson 26 yard field goal,20,3
5,4.0,Steelers,Gary Anderson 39 yard field goal,20,6
6,4.0,Steelers,Louis Lipps 16 yard pass from Neil O'Donnell (Gary Anderson kick),20,13
7,4.0,Steelers,Eric Green 5 yard pass from Neil O'Donnell (Gary Anderson kick),20,20
8,4.0,Giants,Matt Bahr 44 yard field goal,23,20
