,Quarter,Tm,Detail,CHI,MIN
0,1.0,Vikings,Benny Ricardo 30 yard field goal,0,3
1,1.0,Vikings,Benny Ricardo 29 yard field goal,0,6
2,1.0,Bears,Walter Payton 74 yard pass from Matt Suhey (Bob Thomas kick),7,6
3,1.0,Bears,Bob Thomas 42 yard field goal,10,6
4,2.0,Bears,Emery Moorehead 2 yard pass from Jim McMahon,16,6
5,3.0,Vikings,Ted Brown 1 yard rush (Benny Ricardo kick),16,13
6,4.0,Bears,Bob Thomas 22 yard field goal,19,13
