,Quarter,Tm,Detail,DET,CHI
0,1.0,Bears,Walter Payton 1 yard rush (Bob Thomas kick),0,7
1,2.0,Lions,Ulysses Norris 4 yard pass from Jeff Komlo (Benny Ricardo kick),7,7
2,2.0,Bears,Brian Baschnagel 14 yard pass from Mike Phipps (Bob Thomas kick),7,14
3,3.0,Bears,Steve Schubert 77 yard punt return (Bob Thomas kick),7,21
4,3.0,Bears,Terry Schmidt 20 yard interception return (Bob Thomas kick),7,28
5,4.0,Bears,Walter Payton 5 yard rush (Bob Thomas kick),7,35
