,Quarter,Tm,Detail,NYG,HRT
0,2.0,Giants,Jack Hagerty 12 yard pass from Jack McBride (Jack McBride kick),7,0
1,3.0,Giants,Jack McBride 1 yard rush (Jack McBride kick),14,0
2,3.0,Giants,John Alexander fumble recovery in end zone (Paul Hogan kick),21,0
