,Quarter,Time,Tm,Detail,ATL,STL
0,1.0,4:47,Rams,Robert Holcombe 1 yard rush (Jeff Wilkins kick),0,7
1,2.0,14:53,Rams,Torry Holt 38 yard pass from Kurt Warner (Jeff Wilkins kick),0,14
2,2.0,14:24,Rams,Isaac Bruce 46 yard pass from Kurt Warner (Jeff Wilkins kick),0,21
3,2.0,6:35,Rams,Marshall Faulk 17 yard pass from Kurt Warner (Jeff Wilkins kick),0,28
4,3.0,7:32,Falcons,Brian Kozlowski 1 yard pass from Tony Graziani (Morten Andersen kick),7,28
5,3.0,1:54,Rams,Kurt Warner 5 yard rush (Jeff Wilkins kick),7,35
