,Quarter,Tm,Detail,SDG,DEN
0,1.0,Chargers,Rolf Benirschke 50 yard field goal,3,0
1,2.0,Broncos,Rich Karlis 40 yard field goal,3,3
2,2.0,Chargers,Rolf Benirschke 24 yard field goal,6,3
3,3.0,Chargers,Rolf Benirschke 40 yard field goal,9,3
4,3.0,Chargers,Scott Fitzkee 18 yard pass from Dan Fouts (Rolf Benirschke kick),16,3
5,4.0,Chargers,Chuck Muncie 10 yard rush (Rolf Benirschke kick),23,3
