,Quarter,Tm,Detail,NOR,WAS
0,1.0,Saints,Eric Martin 2 yard pass from Bobby Hebert (Morten Andersen kick),7,0
1,2.0,Redskins,Gary Clark 1 yard pass from Doug Williams (Chip Lohmiller kick),7,7
2,2.0,Saints,Robert Clark 18 yard pass from Bobby Hebert (Morten Andersen kick),14,7
3,2.0,Redskins,Doug Williams 1 yard rush (Chip Lohmiller kick),14,14
4,3.0,Redskins,Chip Lohmiller 32 yard field goal,14,17
5,3.0,Saints,Buford Jordan 7 yard offensive fumble return (Morten Andersen kick),21,17
6,3.0,Saints,Morten Andersen 19 yard field goal,24,17
7,4.0,Redskins,Ricky Sanders 8 yard pass from Doug Williams (Chip Lohmiller kick),24,24
8,4.0,Redskins,Chip Lohmiller 23 yard field goal,24,27
