,Quarter,Tm,Detail,HOU,PIT
0,1.0,Steelers,Walter Abercrombie 8 yard rush (Gary Anderson kick),0,7
1,1.0,Oilers,Ernest Givins 33 yard pass from Warren Moon (Tony Zendejas kick),7,7
2,1.0,Steelers,Earnest Jackson 3 yard rush (Gary Anderson kick),7,14
3,2.0,Steelers,Rich Erenberg 17 yard pass from Mark Malone (Gary Anderson kick),7,21
4,2.0,Oilers,Tony Zendejas 44 yard field goal,10,21
