,Quarter,Tm,Detail,PHI,NYG
0,1.0,Giants,Bobby Hammond 19 yard pass from Joe Pisarcik (Joe Danelo kick),0,7
1,1.0,Giants,Johnny Perkins 30 yard pass from Joe Pisarcik (Joe Danelo kick),0,14
2,2.0,Eagles,Wilbert Montgomery 8 yard rush,6,14
3,3.0,Giants,Joe Danelo 37 yard field goal,6,17
4,4.0,Eagles,Mike Hogan 1 yard rush,12,17
5,4.0,Eagles,Herm Edwards 26 yard defensive fumble return (Mike Michel kick),19,17
