,Quarter,Tm,Detail,NYG,STL
0,1.0,Cardinals,Ottis Anderson 9 yard rush,0,6
1,1.0,Cardinals,Steve Little 30 yard field goal,0,9
2,2.0,Cardinals,Steve Little 25 yard field goal,0,12
3,3.0,Cardinals,Pat Tilley 7 yard pass from Steve Pisarkiewicz (Steve Little kick),0,19
4,3.0,Giants,Billy Taylor 18 yard pass from Phil Simms,6,19
5,4.0,Cardinals,Ottis Anderson 6 yard rush (Steve Little kick),6,26
6,4.0,Giants,Billy Taylor 23 yard pass from Phil Simms (Joe Danelo kick),13,26
7,4.0,Cardinals,Steve Little 42 yard field goal,13,29
8,4.0,Giants,Billy Taylor 23 yard pass from Phil Simms (Joe Danelo kick),20,29
