,Quarter,Tm,Detail,GNB,CHI
0,1.0,Bears,Dick Gordon 15 yard pass from Jack Concannon (Mac Percival kick),0,7
1,1.0,Bears,George Farmer 42 yard pass from Jack Concannon (Mac Percival kick),0,14
2,1.0,Packers,Dale Livingston 32 yard field goal,3,14
3,2.0,Bears,Jack Concannon 15 yard rush (Mac Percival kick),3,21
4,3.0,Bears,Dick Gordon 25 yard pass from Jack Concannon (Mac Percival kick),3,28
5,4.0,Packers,Donny Anderson 7 yard rush (Dale Livingston kick),10,28
6,4.0,Bears,Ray Ogden 6 yard pass from Jack Concannon (Mac Percival kick),10,35
7,4.0,Packers,John Hilton 29 yard pass from Rick Norton (Dale Livingston kick),17,35
