,Quarter,Tm,Detail,CHI,TAM
0,1.0,Bears,John Roveto 40 yard field goal,3,0
1,2.0,Buccaneers,Bill Capece 46 yard field goal,3,3
2,2.0,Buccaneers,Jimmie Giles 81 yard pass from Doug Williams (Bill Capece kick),3,10
3,3.0,Buccaneers,Kevin House 51 yard pass from Doug Williams (Bill Capece kick),3,17
4,4.0,Bears,Walter Payton 1 yard rush (John Roveto kick),10,17
5,4.0,Buccaneers,Bill Capece 30 yard field goal,10,20
