,Quarter,Time,Tm,Detail,DEN,PIT
0,1.0,,Broncos,Terrell Davis 8 yard rush (Jason Elam kick),7,0
1,1.0,,Steelers,Kordell Stewart 33 yard rush (Norm Johnson kick),7,7
2,2.0,,Steelers,Jerome Bettis 1 yard rush (Norm Johnson kick),7,14
3,2.0,,Broncos,Jason Elam 43 yard field goal,10,14
4,2.0,,Broncos,Howard Griffith 16 yard pass from John Elway (Jason Elam kick),17,14
5,2.0,,Broncos,Ed McCaffrey 1 yard pass from John Elway (Jason Elam kick),24,14
6,4.0,,Steelers,Charles Johnson 15 yard pass from Kordell Stewart (Norm Johnson kick),24,21
