,Quarter,Tm,Detail,MIN,NOR
0,1.0,Vikings,Rick Danmeier 28 yard field goal,3,0
1,2.0,Vikings,Sammy White 17 yard pass from Tommy Kramer,9,0
2,2.0,Vikings,Ted Brown 1 yard rush (Rick Danmeier kick),16,0
3,3.0,Vikings,Doug Paschal 10 yard rush (Rick Danmeier kick),23,0
4,3.0,Saints,Henry Childs 9 yard pass from Archie Manning,23,6
5,3.0,Saints,Wayne Wilson 23 yard pass from Archie Manning (Benny Ricardo kick),23,13
6,4.0,Saints,Henry Childs 27 yard pass from Archie Manning (Benny Ricardo kick),23,20
