,Quarter,Time,Tm,Detail,MIN,IND
0,1.0,9:05,Vikings,Dan Bailey 21 yard field goal,3,0
1,2.0,11:51,Colts,Jonathan Taylor 5 yard rush (Rodrigo Blankenship kick),3,7
2,2.0,5:01,Colts,"Safety, Kirk Cousins sacked in end zone by DeForest Buckner",3,9
3,2.0,1:13,Colts,Rodrigo Blankenship 28 yard field goal,3,12
4,2.0,0:28,Colts,Rodrigo Blankenship 38 yard field goal,3,15
5,3.0,9:30,Colts,Rodrigo Blankenship 38 yard field goal,3,18
6,4.0,14:04,Colts,Zach Pascal 2 yard pass from Philip Rivers (Rodrigo Blankenship kick),3,25
7,4.0,8:52,Colts,Rodrigo Blankenship 44 yard field goal,3,28
8,4.0,5:27,Vikings,Dalvin Cook 3 yard rush (Dalvin Cook run),11,28
