,Quarter,Time,Tm,Detail,MIN,CAR
0,1.0,10:19,Panthers,Stephen Davis 7 yard rush (John Kasay kick),0,7
1,2.0,9:45,Panthers,John Kasay 44 yard field goal,0,10
2,2.0,3:57,Panthers,Stephen Davis 1 yard rush (John Kasay kick),0,17
3,2.0,0:38,Panthers,Steve Smith 13 yard pass from Jake Delhomme (John Kasay kick),0,24
4,3.0,11:45,Vikings,Mewelde Moore 4 yard rush (Paul Edinger kick),7,24
5,3.0,7:25,Panthers,Kris Mangum 1 yard pass from Jake Delhomme (John Kasay kick),7,31
6,4.0,7:38,Panthers,Keary Colbert 25 yard pass from Jake Delhomme (John Kasay kick),7,38
7,4.0,1:55,Vikings,Marcus Robinson 5 yard pass from Brad Johnson,13,38
