,Quarter,Tm,Detail,PIT,SDG
0,1.0,Steelers,Roy Gerela 29 yard field goal,3,0
1,1.0,Steelers,Frank Lewis 40 yard pass from Terry Bradshaw (Roy Gerela kick),10,0
2,2.0,Steelers,Gerry Mullins offensive fumble recovery in end zone (Roy Gerela kick),17,0
3,2.0,Steelers,Roy Gerela 25 yard field goal,20,0
4,3.0,Steelers,Roy Gerela 38 yard field goal,23,0
5,4.0,Steelers,John Stallworth 38 yard pass from Terry Bradshaw (Roy Gerela kick),30,0
6,4.0,Steelers,Mike Collier 7 yard rush (Roy Gerela kick),37,0
