,Quarter,Tm,Detail,BKN,PIT
0,1,Dodgers,Pug Manders 3 yard rush (Merl Condit kick),7,0
1,2,Steelers,Dick Riffle 1 yard rush (Armand Niccolai kick),7,7
2,4,Steelers,Art Jones 25 yard rush (Armand Niccolai kick),7,14
