,Quarter,Tm,Detail,FRN,GNB
0,1,Packers,Eddie Kotal 46 yard pass from Verne Lewellen (Red Dunn kick),0,7
1,2,Yellow Jackets,"Safety, snap out of end zone",2,7
2,4,Packers,Verne Lewellen 2 yard rush (Bo Molenda kick),2,14
