,Quarter,Tm,Detail,ATL,CHI
0,1.0,Falcons,Greg Davis 36 yard field goal,3,0
1,2.0,Bears,Kevin Butler 21 yard field goal,3,3
2,2.0,Bears,Neal Anderson 8 yard rush (Kevin Butler kick),3,10
3,2.0,Bears,Wendell Davis 8 yard pass from Jim Harbaugh (Kevin Butler kick),3,17
4,3.0,Bears,Brad Muster 1 yard rush (Kevin Butler kick),3,24
5,3.0,Falcons,Tracy Johnson 5 yard pass from Chris Miller (Greg Davis kick),10,24
6,4.0,Falcons,Steve Broussard 1 yard rush (Greg Davis kick),17,24
7,4.0,Bears,Vestee Jackson 45 yard interception return,17,30
8,4.0,Falcons,Andre Rison 11 yard pass from Chris Miller (Greg Davis kick),24,30
