,Quarter,Tm,Detail,CLE,PIT
0,1.0,Browns,Leroy Kelly 7 yard rush (Don Cockroft kick),7,0
1,1.0,Steelers,J.R. Wilburn 10 yard pass from Dick Shiner (Booth Lusteg kick),7,7
2,1.0,Browns,Ernie Green 62 yard pass from Bill Nelsen (Don Cockroft kick),14,7
3,2.0,Steelers,Booth Lusteg 13 yard field goal,14,10
4,2.0,Browns,Ernie Green 11 yard pass from Bill Nelsen (Don Cockroft kick),21,10
5,2.0,Browns,Don Cockroft 27 yard field goal,24,10
6,4.0,Browns,Milt Morin 2 yard pass from Bill Nelsen (Don Cockroft kick),31,10
7,4.0,Steelers,Ray May 27 yard interception return (Booth Lusteg kick),31,17
8,4.0,Browns,Paul Warfield 36 yard pass from Frank Ryan (Don Cockroft kick),38,17
9,4.0,Steelers,J.R. Wilburn 19 yard pass from Dick Shiner (Booth Lusteg kick),38,24
10,4.0,Browns,Charlie Harraway 33 yard pass from Frank Ryan (Don Cockroft kick),45,24
