,Quarter,Tm,Detail,PIT,STL
0,1.0,Cardinals,Dave Williams 7 yard pass from Jim Hart,0,6
1,2.0,Cardinals,Jim Bakken 32 yard field goal,0,9
2,2.0,Steelers,Gene Mingo 19 yard field goal,3,9
3,2.0,Cardinals,Jim Bakken 12 yard field goal,3,12
4,3.0,Cardinals,Cid Edwards 2 yard rush (Jim Bakken kick),3,19
5,4.0,Cardinals,Dave Williams 5 yard pass from Jim Hart (Jim Bakken kick),3,26
6,4.0,Cardinals,Dave Williams 9 yard pass from Jim Hart (Jim Bakken kick),3,33
7,4.0,Cardinals,Jim Hart 1 yard rush (Jim Bakken kick),3,40
8,4.0,Cardinals,Roy Shivers 1 yard rush (Jim Bakken kick),3,47
9,4.0,Steelers,Jon Henderson 20 yard pass from Terry Hanratty (Gene Mingo kick),10,47
