,Quarter,Tm,Detail,MIL,CLE
0,1.0,Bulldogs,Doc Elliott unknown yard rush (Olin Smith kick),0,7
1,1.0,Badgers,Evar Swanson unknown yard pass from Red Dunn (Red Dunn kick),7,7
2,2.0,Badgers,Red Dunn 30 yard field goal,10,7
3,2.0,Bulldogs,Doc Elliott unknown yard rush (Hoge Workman kick),10,14
4,2.0,Bulldogs,Link Lyman 15 yard fumble return (Hoge Workman kick),10,21
5,3.0,Bulldogs,Doc Elliott unknown yard rush (Hoge Workman kick),10,28
6,4.0,Bulldogs,Dick Wolf 3 yard rush,10,34
7,4.0,Bulldogs,Doc Elliott unknown yard rush (Hoge Workman kick),10,41
8,4.0,Bulldogs,Guy Chamberlin 30 yard pass from Hoge Workman,10,47
9,4.0,Bulldogs,Wooky Roberts 10 yard pass from Hoge Workman,10,53
