,Quarter,Tm,Detail,CLE,HOU
0,1.0,Browns,Leroy Hoard 14 yard pass from Bernie Kosar (Matt Stover kick),7,0
1,2.0,Oilers,Allen Pinkett 5 yard rush (Al Del Greco kick),7,7
2,2.0,Browns,Joe Morris 5 yard rush (Matt Stover kick),14,7
3,3.0,Browns,Matt Stover 55 yard field goal,17,7
4,3.0,Oilers,Drew Hill 40 yard pass from Warren Moon (Al Del Greco kick),17,14
5,4.0,Oilers,Pat Coleman 4 yard pass from Warren Moon (Al Del Greco kick),17,21
6,4.0,Browns,Reggie Langhorne 40 yard pass from Bernie Kosar (Matt Stover kick),24,21
7,4.0,Oilers,Drew Hill 1 yard pass from Warren Moon (Al Del Greco kick),24,28
