,Quarter,Tm,Detail,BAL,SFO
0,1.0,49ers,Gene Babb 2 yard rush (Gordie Soltau kick),0,7
1,2.0,Colts,Milt Davis 75 yard interception return,6,7
2,2.0,49ers,Gordie Soltau 16 yard field goal,6,10
3,3.0,Colts,Lenny Moore 82 yard pass from Johnny Unitas (Steve Myhra kick),13,10
4,4.0,49ers,Hugh McElhenny 14 yard pass from John Brodie (Gordie Soltau kick),13,17
