,Quarter,Tm,Detail,CHI,STL
0,1.0,Cardinals,Neil O'Donoghue 44 yard field goal,0,3
1,1.0,Bears,Willie Gault 28 yard pass from Jim McMahon (Bob Thomas kick),7,3
2,1.0,Cardinals,Randy Love 1 yard rush (Neil O'Donoghue kick),7,10
3,2.0,Bears,Walter Payton 1 yard rush (Bob Thomas kick),14,10
4,2.0,Cardinals,Ottis Anderson 9 yard rush (Neil O'Donoghue kick),14,17
5,3.0,Bears,Matt Suhey 1 yard rush (Bob Thomas kick),21,17
6,3.0,Cardinals,Ottis Anderson 1 yard pass from Neil Lomax (Neil O'Donoghue kick),21,24
7,4.0,Cardinals,Neil Lomax 9 yard rush (Neil O'Donoghue kick),21,31
8,4.0,Cardinals,Willard Harrell 1 yard rush (Neil O'Donoghue kick),21,38
