,Quarter,Tm,Detail,PHI,WAS
0,2.0,Redskins,Art Monk 51 yard pass from Joe Theismann (Mark Moseley kick),0,7
1,2.0,Redskins,Mark Moseley 35 yard field goal,0,10
2,3.0,Redskins,John Riggins 8 yard rush (Mark Moseley kick),0,17
3,4.0,Redskins,Mark Moseley 29 yard field goal,0,20
