,Quarter,Tm,Detail,BAL,PIT
0,1.0,Steelers,John Stallworth 31 yard pass from Terry Bradshaw (Roy Gerela kick),0,7
1,2.0,Steelers,Franco Harris 3 yard rush (Roy Gerela kick),0,14
2,2.0,Steelers,Franco Harris 2 yard rush (Roy Gerela kick),0,21
3,2.0,Colts,Roger Carr 5 yard pass from Bill Troup (Toni Linhart kick),7,21
4,3.0,Colts,Derrel Luce 44 yard defensive fumble return,13,21
5,3.0,Steelers,Randy Grossman 12 yard pass from Terry Bradshaw (Roy Gerela kick),13,28
6,4.0,Steelers,Jim Smith 29 yard pass from Terry Bradshaw (Roy Gerela kick),13,35
