,Quarter,Tm,Detail,OAK,NYG
0,1.0,Raiders,Chris Bahr 41 yard field goal,3,0
1,1.0,Raiders,Arthur Whittington 7 yard rush (Chris Bahr kick),10,0
2,2.0,Giants,Joe Danelo 47 yard field goal,10,3
3,2.0,Raiders,Cliff Branch 31 yard pass from Jim Plunkett (Chris Bahr kick),17,3
4,2.0,Raiders,Chris Bahr 38 yard field goal,20,3
5,2.0,Giants,Leon Perry 11 yard pass from Scott Brunner (Joe Danelo kick),20,10
6,3.0,Raiders,Raymond Chester 37 yard pass from Jim Plunkett (Chris Bahr kick),27,10
7,4.0,Giants,Billy Taylor 1 yard rush (Joe Danelo kick),27,17
8,4.0,Raiders,Derrick Jensen 33 yard kickoff return,33,17
