,Quarter,Time,Tm,Detail,CHI,NOR
0,1.0,,Bears,Jeff Jaeger 28 yard field goal,3,0
1,2.0,,Bears,Curtis Conway 18 yard pass from Dave Krieg (Jeff Jaeger kick),10,0
2,2.0,,Saints,Lee DeRamus 28 yard pass from Jim Everett (Doug Brien kick),10,7
3,2.0,,Bears,Marcus Spears 1 yard pass from Dave Krieg (Jeff Jaeger kick),17,7
4,3.0,,Saints,Doug Brien 34 yard field goal,17,10
5,3.0,,Saints,Michael Haynes 5 yard pass from Jim Everett (Doug Brien kick),17,17
6,3.0,,Bears,Curtis Conway 53 yard pass from Dave Krieg (Jeff Jaeger kick),24,17
7,4.0,,Saints,Ray Zellars 3 yard rush (Doug Brien kick),24,24
8,4.0,,Saints,Doug Brien 54 yard field goal,24,27
