,Quarter,Tm,Detail,CAN,BRL
0,2.0,Lions,Matt Brennan unknown yard rush,0,6
1,2.0,Lions,Rex Thomas unknown yard pass from (extra point pass successful),0,13
2,3.0,Lions,Herm Bagby 12 yard pass from Rex Thomas,0,19
