,Quarter,Tm,Detail,RAI,SEA
0,2.0,Seahawks,Daryl Turner 26 yard pass from Dave Krieg (Norm Johnson kick),0,7
1,3.0,Seahawks,Norm Johnson 35 yard field goal,0,10
2,4.0,Seahawks,Norm Johnson 44 yard field goal,0,13
3,4.0,Raiders,Marcus Allen 46 yard pass from Jim Plunkett (Chris Bahr kick),7,13
