,Quarter,Tm,Detail,NYG,PHI
0,1,Eagles,Joe Muha 2 yard fumble return (Cliff Patton kick),0,7
1,2,Eagles,Tommy Thompson 1 yard rush (Cliff Patton kick),0,14
2,3,Eagles,Ernie Steele 22 yard rush,0,20
3,4,Eagles,Cliff Patton 11 yard field goal,0,23
