,Quarter,Tm,Detail,CLE,PHI
0,1.0,Browns,Ray Renfro 11 yard rush (Lou Groza kick),7,0
1,1.0,Browns,Lou Groza 19 yard field goal,10,0
2,2.0,Eagles,Pete Pihos 15 yard pass from Bobby Thomason (Bobby Walston kick),10,7
3,2.0,Eagles,Bobby Thomason 1 yard rush (Bobby Walston kick),10,14
4,2.0,Browns,Lou Groza 24 yard field goal,13,14
5,3.0,Browns,Ken Carpenter 8 yard pass from Otto Graham (Lou Groza kick),20,14
6,3.0,Eagles,Toy Ledbetter 14 yard pass from Bobby Thomason (Bobby Walston kick),20,21
7,3.0,Eagles,Don Johnson 2 yard rush (Bobby Walston kick),20,28
8,4.0,Eagles,Toy Ledbetter 3 yard rush (Bobby Walston kick),20,35
9,4.0,Eagles,Bobby Walston 17 yard pass from Bobby Thomason (Bobby Walston kick),20,42
10,4.0,Browns,Dante Lavelli 17 yard pass from George Ratterman (Lou Groza kick),27,42
