,Quarter,Tm,Detail,RAM,CRD
0,1.0,Cardinals,Johnny Olszewski 62 yard pass from Jim Root (Pat Summerall kick),0,7
1,1.0,Cardinals,Pat Summerall 16 yard field goal,0,10
2,1.0,Cardinals,Ray Ramsey 37 yard interception return (Pat Summerall kick),0,17
3,2.0,Rams,Ben Agajanian 27 yard field goal,3,17
4,2.0,Rams,Skeets Quinlan 2 yard rush (Ben Agajanian kick),10,17
5,3.0,Rams,Night Train Lane 26 yard fumble return (Ben Agajanian kick),17,17
6,4.0,Rams,Dan Towler 1 yard rush (Ben Agajanian kick),24,17
7,4.0,Cardinals,Don Paul 17 yard pass from Charley Trippi (Pat Summerall kick),24,24
